dialogue_id,model,context,response,reference,annotations.content,annotations.grammar,annotations.relevance,annotations.appropriateness,am_scores,fm_scores,am_fm_scores
dailydialog-zhao_00000,ground-truth,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .","cash , credit card , or debit card ?","['cash , credit card , or debit card ?']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
dailydialog-zhao_00001,GPT2_medium sample_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",do you have address ?,"['cash , credit card , or debit card ?']",0.7081833779564358,0.7081833779564358,0.7081833779564358,0.7081833779564358,0.82922447,0.5871422886353448,0.7081833779564358
dailydialog-zhao_00002,GPT2_medium top_temp1.0_k0_p0.5,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",here you are .,"['cash , credit card , or debit card ?']",0.7771903453316795,0.7771903453316795,0.7771903453316795,0.7771903453316795,0.77994525,0.7744354363374922,0.7771903453316795
dailydialog-zhao_00003,GPT2_small top_temp1.0_k0_p0.9,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",i 'm so sorry . i forgot to fill out the form .,"['cash , credit card , or debit card ?']",0.9008182148078057,0.9008182148078057,0.9008182148078057,0.9008182148078057,0.8276051,0.9740313013273424,0.9008182148078057
dailydialog-zhao_00004,HRED_attn sample_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .","ok , then . i 'll be back in about 3 minutes .","['cash , credit card , or debit card ?']",0.840751364066481,0.840751364066481,0.840751364066481,0.840751364066481,0.78261244,0.8988902851626861,0.840751364066481
dailydialog-zhao_00005,S2S sample_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .","ok , thank you .","['cash , credit card , or debit card ?']",0.8247040493137656,0.8247040493137656,0.8247040493137656,0.8247040493137656,0.79019606,0.859212037493193,0.8247040493137656
dailydialog-zhao_00006,S2S_attn greedy_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",ok .,"['cash , credit card , or debit card ?']",0.6355702821176353,0.6355702821176353,0.6355702821176353,0.6355702821176353,0.77112657,0.5000139959178573,0.6355702821176353
dailydialog-zhao_00007,VHRED_attn greedy_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",ok .,"['cash , credit card , or debit card ?']",0.6355702821176353,0.6355702821176353,0.6355702821176353,0.6355702821176353,0.77112657,0.5000139959178573,0.6355702821176353
dailydialog-zhao_00008,negative-sample,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",we have binders with local job listings or you can make use of the computers . ok ?,"['cash , credit card , or debit card ?']",0.8073766079803344,0.8073766079803344,0.8073766079803344,0.8073766079803344,0.82120407,0.7935491496841185,0.8073766079803344
dailydialog-zhao_00009,ground-truth,"can i help you , sir ?
hello , may i make an appointment for sometime early this afternoon ?
i 'm sorry . all the appointments are filled .","oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .","[""oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
dailydialog-zhao_00010,GPT2_medium sample_temp1.0_k0_p0.0,"can i help you , sir ?
hello , may i make an appointment for sometime early this afternoon ?
i 'm sorry . all the appointments are filled .",then at 1 30 am may i suggest a mon . i 'm afraid we have good direct flights on saturday .,"[""oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .""]",0.751683026244836,0.751683026244836,0.751683026244836,0.751683026244836,0.8707119,0.6326541298441031,0.751683026244836
dailydialog-zhao_00011,GPT2_medium top_temp1.0_k0_p0.5,"can i help you , sir ?
hello , may i make an appointment for sometime early this afternoon ?
i 'm sorry . all the appointments are filled .",how about the 10 o'clock ?,"[""oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .""]",0.7623943636858483,0.7623943636858483,0.7623943636858483,0.7623943636858483,0.85650015,0.6682885785985034,0.7623943636858483
