context,response,model,dialogue_id,annotations.Interesting,annotations.Engaging,annotations.Specific,annotations.Relevant,annotations.Correct,annotations.Semantically appropriate,annotations.Understandable,annotations.Fluent,annotations.Overall,am_scores,fm_scores,am_fm_scores
"User: Hi!
System: Hi! What's up?
User: Nothing much, how about you
System: Not much either.
User: What are you doing
System: Playing Terraria. What about you?
User: Sitting in a meeting
System: What kind of meeting?
User: Can't say","System: It's probably boring, isn't it?",Meena,fed-turn_00000,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.15694496493259502,0.09671753897148849,0.21717239089370155,0.15694496493259502
"User: Hi!
System: Hi! What's up?
User: Nothing much, how about you
System: Not much either.
User: What are you doing
System: Playing Terraria. What about you?
User: Sitting in a meeting
System: What kind of meeting?
User: Can't say
System: It's probably boring, isn't it?
User: Haha, yes!",System: What is the meeting about?,Meena,fed-turn_00001,0.132607996407153,0.132607996407153,0.132607996407153,0.132607996407153,0.132607996407153,0.132607996407153,0.132607996407153,0.132607996407153,0.132607996407153,0.09396247575810958,0.17125351705619643,0.132607996407153
"User: Hi!
System: Hi! What's up?
User: Nothing much, how about you
System: Not much either.
User: What are you doing
System: Playing Terraria. What about you?
User: Sitting in a meeting
System: What kind of meeting?
User: Can't say
System: It's probably boring, isn't it?
User: Haha, yes!
System: What is the meeting about?
User: I cannot tell you
System: What can you tell me?
User: Nothing much except that the weather is pleasant",System: How pleasant?,Meena,fed-turn_00002,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.0516624589198604,0.1033249178397208,0.0,0.0516624589198604
"User: Hi!
System: Hey! How are you today?
User: good
System: I'm glad to hear that! What are your plans for today?
User: I'm trying to find a good podcast to listen to
System: What kinds of podcasts do you like?
User: only those about Marvel movies!
System: Do you like Hollywood Babble-On?
User: i haven't tried it...do you like it?
System: It's one of my favorites, right up there with REDACTED_TERM.
User: awesome! do you listen to a lot of podcasts?
System: Not as much as I'd like, but I do like listening to NPR.
User: where do you listen to podcasts? Spotify?",System: I listen to them through iTunes.,Meena,fed-turn_00003,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.18074551765377866,0.06782750065056867,0.2936635346569887,0.18074551765377866
"User: Hi!
System: Hey! How are you today?
User: good
System: I'm glad to hear that! What are your plans for today?
User: I'm trying to find a good podcast to listen to
System: What kinds of podcasts do you like?
User: only those about Marvel movies!
System: Do you like Hollywood Babble-On?
User: i haven't tried it...do you like it?
System: It's one of my favorites, right up there with REDACTED_TERM.
User: awesome! do you listen to a lot of podcasts?
System: Not as much as I'd like, but I do like listening to NPR.
User: where do you listen to podcasts? Spotify?
System: I listen to them through iTunes.
User: i like Spotify better...more options","System: Yeah, I just don't have the money for Spotify.",Meena,fed-turn_00004,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.21144737178845488,0.10150700897139849,0.3213877346055113,0.21144737178845488
"User: Hi!
System: Hey! How are you today?
User: good
System: I'm glad to hear that! What are your plans for today?
User: I'm trying to find a good podcast to listen to
System: What kinds of podcasts do you like?
User: only those about Marvel movies!
System: Do you like Hollywood Babble-On?
User: i haven't tried it...do you like it?
System: It's one of my favorites, right up there with REDACTED_TERM.
User: awesome! do you listen to a lot of podcasts?
System: Not as much as I'd like, but I do like listening to NPR.
User: where do you listen to podcasts? Spotify?
System: I listen to them through iTunes.
User: i like Spotify better...more options
System: Yeah, I just don't have the money for Spotify.
User: ah, maybe i can lend you some!","System: Nah, don't worry about it!",Meena,fed-turn_00005,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.16219502818305895,0.1415204967702036,0.1828695595959143,0.16219502818305895
"User: Hi!
System: Hi there.
User: What is the capital of Brazil?","System: I think the capital of Brazil is called ""Brasilia"".",Mitsuku,fed-turn_00006,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.2638695483852275,0.08595886089502082,0.44178023587543425,0.2638695483852275
"User: Hi!
System: Hi there.
User: What is the capital of Brazil?
System: I think the capital of Brazil is called ""Brasilia"".
User: How many people live there?
System: Is unknown a country? I only know countries, not towns or cities.
User: Do more people live in the USA or Australia?","System: Not that much more, no.",Mitsuku,fed-turn_00007,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.1160610661827452,0.06011326632164972,0.17200886604384066,0.1160610661827452
"User: Hi!
System: Hi there.
User: What is the capital of Brazil?
System: I think the capital of Brazil is called ""Brasilia"".
User: How many people live there?
System: Is unknown a country? I only know countries, not towns or cities.
User: Do more people live in the USA or Australia?
System: Not that much more, no.
User: What other subjects do you know about besides Geography?","System: We can talk about any subject here, as long as it's not about sex or swearing.",Mitsuku,fed-turn_00008,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.2748981122743318,0.10009077863057042,0.44970544591809325,0.2748981122743318
"User: Hi!
System: Hey
User: How's your day going?
System: pretty good. yours?
User: Ehh it's fine. I didn't do so well on that history test, actually..
System: oh what happened?
User: Apparently Christopher Columbus didn't fight in the Civil War :')
System: hahah wait for real?
User: I know right! Are you taking History next semester?",System: No I'm not in school anymore,Human,fed-turn_00009,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.15166744856367279,0.07139817551807996,0.23193672160926562,0.15166744856367279
