context,dialogue_id,model,reference,response,annotations.overall,am_scores,fm_scores,am_fm_scores
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00000,human,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",great . why did you become a software engineer ?,0.9740989672662941,0.9673866,0.9808113311771806,0.9740989672662941
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00001,hredf,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']","well , i see .",0.9132643430538288,0.9227838,0.903744894088767,0.9132643430538288
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00002,seq2seqf,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",what kind of job are you interested in ?,0.8746023771156619,0.9642719,0.7849328511932988,0.8746023771156619
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00003,CVAEf,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",that is great . would you mind changing your company and typing ?,0.9548189934143245,0.94854355,0.9610944382446648,0.9548189934143245
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00004,dualencoder_train,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",i 'm very surprised to hear you say that . i think our price is very favorable . you can hardly get such an attractive price from other suppliers .,0.9306701631294364,0.8967341,0.9646062077972639,0.9306701631294364
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00005,hredf,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",would you like anything to drink ?,0.9638844780570974,0.92948693,0.998282025743864,0.9638844780570974
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00006,CVAEf,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",would you like coffee or coffee ?,0.9633400457624932,0.9508456,0.9758344923504868,0.9633400457624932
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00007,human,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']","that 's a great choice , i 'll let the kitchen know right away .",0.8382092982365064,0.8972378,0.7791808187630519,0.8382092982365064
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00008,dualencoder_train,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",what would you like for appetizer and dinner ?,0.9614802542419247,0.941582,0.9813784843864067,0.9614802542419247
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00009,seq2seqf,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",what kind of food do you like ?,0.8196498437082642,0.95763427,0.6816654172253357,0.8196498437082642
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00010,dualencoder_train,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']",really ? look at the toe of this shoe . it is worn out .,0.949206894242816,0.911105,0.9873088113547422,0.949206894242816
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00011,CVAEf,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']",you mean it !,0.8744374186665826,0.9160576,0.8328172506632435,0.8744374186665826
